199,3.6,0,0,0,0,5.1,161,101253
200,4.2,0,0,0,15,5.1,204,101253
201,4.8,5.97535,137.277509,74,66,5.1,261,101252
202,5.4,11.437721,150.17604,278,82,0,146,101253
203,6.1,15.06311,163.951531,356,94,1.5,220,101253
204,6.6,16.503524,178.311998,310,109,3.1,280,101253
205,6.9,15.612949,192.741102,328,84,4.1,280,101253
206,7,12.482687,206.694412,197,63,2.1,310,101253
207,6.9,7.417895,219.815682,58,26,2.6,290,101253
208,6.6,1.009151,232.030057,0,0,2.6,310,101253
209,6.2,0,0,0,0,0,73,101253
210,5.6,0,0,0,0,0,261,101253
211,5.1,0,0,0,0,0,100,101253
212,4.7,0,0,0,0,0,301,101253
213,4.3,0,0,0,0,0,248,101253
214,4,0,0,0,0,0,132,101253
215,3.7,0,0,0,0,0,78,101252
216,3.5,0,0,0,0,0,199,101252
217,1.5,0,0,0,0,0,150,101252
218,1.2,0,0,0,0,0,81,101252
219,1.1,0,0,0,0,0,66,101252
220,1,0,0,0,0,0,243,101252
221,1.1,0,0,0,0,2,188,101252
222,1.4,0,0,0,0,1,210,101252
223,2,0,0,0,0,0,246,101252
224,2.7,0,0,0,13,0,41,101252
225,3.6,6.062422,137.125309,27,60,0.5,59,101253
226,4.7,11.54532,150.034882,131,91,1,230,101253
227,5.6,15.191122,163.827136,111,125,1.5,210,101253
228,6.3,16.650018,178.210806,126,128,4.6,210,101253
229,6.8,15.773793,192.667511,157,97,5.1,220,101253
230,7,12.652554,206.648889,94,66,4.3,148,101253
231,6.8,7.591059,219.795245,0,22,3.6,210,101253
232,6.4,1.166816,232.030002,0,0,2.6,220,101253
233,5.7,0,0,0,0,3.1,200,101253
234,5,0,0,0,0,3.3,316,101253
235,4.2,0,0,0,0,3.6,210,101253
236,3.5,0,0,0,0,3.6,210,101253
237,2.9,0,0,0,0,3.6,200,101253
238,2.4,0,0,0,0,3.6,46,101252
239,2.1,0,0,0,0,3.6,316,101252
240,1.8,0,0,0,0,3.6,209,101254
241,8.2,0,0,0,0,3.6,271,101254
242,8.1,0,0,0,0,3.6,153,101254
243,8,0,0,0,0,3.6,125,101254
244,8,0,0,0,0,3.6,203,101254
245,8,0,0,0,0,5.1,272,101254
246,8.1,0,0,0,0,5.1,210,101254
247,8.3,0,0,0,0,5.1,210,101254
248,8.6,0,0,0,14,5.1,210,101254
249,8.9,6.156533,136.971595,199,56,4.6,210,101254
250,9.2,11.660122,149.893111,277,95,5.7,200,101254
251,9.5,15.32634,163.703246,16,109,5.1,220,101254
252,9.8,16.803531,178.111383,15,112,5.1,220,101254
253,9.9,15.941271,192.596931,10,94,5.1,210,101254
254,10,12.828514,206.607431,0,59,5.7,210,101254
255,9.9,7.769733,219.779663,0,17,5.7,220,101254
256,9.8,1.330229,232.035369,0,0,5.7,230,101254
257,9.6,0,0,0,0,5.5,59,101254
258,9.3,0,0,0,0,5.3,43,101254
259,9.1,0,0,0,0,5.1,210,101254
260,8.8,0,0,0,0,5.1,200,101254
261,8.6,0,0,0,0,5.7,210,101254
262,8.5,0,0,0,0,6.3,168,101254
263,8.4,0,0,0,0,6.3,302,101254
264,8.3,0,0,0,0,6.3,164,101254
265,8,0,0,0,0,6.3,205,101254
266,8,0,0,0,0,6.3,217,101254
267,8,0,0,0,0,6.3,88,101254
268,8,0,0,0,0,6.3,34,101254
269,8,0,0,0,0,6.3,224,101254
270,8,0,0,0,0,6.7,80,101254
271,8,0,0,0,0,6.7,220,101254
272,8,0,0,0,10,6.7,210,101254
273,8,6.257665,136.816466,150,53,7.2,210,101254
274,8,11.782092,149.750818,9,88,6.7,128,101254
275,8,15.468712,163.579947,15,111,6.2,210,101254
276,8,16.964001,178.013808,16,113,6.7,210,101254
277,8,16.115306,192.529435,10,96,6.7,210,101254
278,8,13.01048,206.570101,0,61,6.2,210,101254
279,8,7.953822,219.768989,66,27,6.2,210,101253
280,8,1.499303,232.046193,0,0,6.7,210,101253
281,8,0,0,0,0,5.7,200,101253
282,8,0,0,0,0,5.1,200,101253
283,8,0,0,0,0,5.7,200,101253
284,8,0,0,0,0,6.7,200,101253
285,8,0,0,0,0,7.7,267,101254
286,8,0,0,0,0,7.7,317,101254
287,8,0,0,0,0,7.7,164,101254
288,8,0,0,0,0,7.7,50,101252
289,3.3,0,0,0,0,7.7,40,101252
290,3.2,0,0,0,0,7.7,259,101252
291,3,0,0,0,0,7.7,276,101252
292,3,0,0,0,0,7.7,329,101253
293,3.1,0,0,0,0,6.1,199,101253
294,3.3,0,0,0,0,4.6,200,101253
295,3.6,0,0,0,0,3.1,190,101253
296,4.2,0,0,0,11,4.1,210,101253
297,4.8,6.365798,136.66002,0,50,5.7,310,101252
298,5.4,11.91119,149.608093,6,90,3.1,320,101253
299,6.1,15.618184,163.457323,15,112,3.6,330,101253
300,6.6,17.131358,177.91816,11,116,4.6,320,101253
301,6.9,16.295816,192.465096,42,106,4.1,330,101253
302,7,13.19836,206.536963,0,62,3.6,118,101253
303,6.9,8.14323,219.763269,0,18,3.1,330,101253
304,6.6,1.673936,232.062504,0,0,3.6,330,101253
305,6.2,0,0,0,0,3.6,330,101253
306,5.6,0,0,0,0,2.8,48,101253
307,5.1,0,0,0,0,2.1,310,101253
308,4.7,0,0,0,0,2.1,137,101253
309,4.3,0,0,0,0,2.1,295,101253
